row_index,split,label,class_name
0,train,0,antelope
1,validation,0,antelope
2,train,0,antelope
3,train,0,antelope
4,test,0,antelope
5,train,0,antelope
6,train,0,antelope
7,train,0,antelope
8,validation,0,antelope
9,train,0,antelope
10,train,0,antelope
11,train,0,antelope
12,train,0,antelope
13,validation,0,antelope
14,validation,0,antelope
15,train,0,antelope
16,validation,0,antelope
17,validation,0,antelope
18,train,0,antelope
19,train,0,antelope
20,validation,0,antelope
21,test,0,antelope
22,train,0,antelope
23,train,0,antelope
24,train,0,antelope
25,train,0,antelope
26,validation,0,antelope
27,validation,0,antelope
28,train,0,antelope
29,train,0,antelope
30,train,0,antelope
31,train,0,antelope
32,test,0,antelope
33,train,0,antelope
34,validation,0,antelope
35,test,0,antelope
36,validation,0,antelope
37,validation,0,antelope
38,validation,0,antelope
39,train,0,antelope
40,test,0,antelope
41,train,0,antelope
42,train,0,antelope
43,train,0,antelope
44,train,0,antelope
45,validation,0,antelope
46,train,0,antelope
47,test,0,antelope
48,test,0,antelope
49,train,0,antelope
50,train,0,antelope
51,train,0,antelope
52,validation,0,antelope
53,test,0,antelope
54,train,0,antelope
55,train,0,antelope
56,train,0,antelope
57,train,0,antelope
58,train,0,antelope
59,train,0,antelope
60,train,0,antelope
61,train,0,antelope
62,test,0,antelope
63,train,0,antelope
64,test,0,antelope
65,train,0,antelope
66,train,0,antelope
67,train,0,antelope
68,train,0,antelope
69,train,0,antelope
70,train,0,antelope
71,train,0,antelope
72,train,0,antelope
73,train,0,antelope
74,train,0,antelope
75,train,0,antelope
76,train,0,antelope
77,train,0,antelope
78,train,0,antelope
79,train,0,antelope
80,validation,0,antelope
81,train,0,antelope
82,train,0,antelope
83,train,0,antelope
84,train,0,antelope
85,validation,0,antelope
86,train,0,antelope
87,validation,0,antelope
88,train,0,antelope
89,train,0,antelope
90,train,0,antelope
91,test,0,antelope
92,train,0,antelope
93,train,0,antelope
94,train,0,antelope
95,validation,0,antelope
96,train,0,antelope
97,train,0,antelope
98,validation,0,antelope
99,train,0,antelope
100,train,0,antelope
101,train,0,antelope
102,train,0,antelope
103,test,0,antelope
104,train,0,antelope
105,validation,0,antelope
106,train,0,antelope
107,train,0,antelope
108,train,0,antelope
109,train,0,antelope
110,train,0,antelope
111,test,0,antelope
112,test,0,antelope
113,train,0,antelope
114,train,0,antelope
115,validation,0,antelope
116,train,0,antelope
117,train,0,antelope
118,train,0,antelope
119,test,0,antelope
120,train,0,antelope
121,test,0,antelope
122,validation,0,antelope
123,validation,0,antelope
124,train,0,antelope
125,train,0,antelope
126,train,0,antelope
127,test,0,antelope
128,validation,0,antelope
129,test,0,antelope
130,validation,0,antelope
131,train,0,antelope
132,train,0,antelope
133,train,0,antelope
134,test,0,antelope
135,train,0,antelope
136,train,0,antelope
137,train,0,antelope
138,test,0,antelope
139,train,0,antelope
140,train,0,antelope
141,train,0,antelope
142,train,0,antelope
143,validation,0,antelope
144,train,0,antelope
145,train,0,antelope
146,test,0,antelope
147,test,0,antelope
148,train,0,antelope
149,train,0,antelope
150,test,0,antelope
151,test,0,antelope
152,test,0,antelope
153,train,0,antelope
154,validation,0,antelope
155,train,0,antelope
156,validation,0,antelope
157,validation,0,antelope
158,train,0,antelope
159,validation,0,antelope
160,validation,0,antelope
161,test,0,antelope
162,test,0,antelope
163,train,0,antelope
