source_row_index,normalized_image_path,alpha_bucket,scene_category,scene_leaf,filename,true_label,true_class,split_membership,official_attribute_row,official_attribute_match,n_official_attributes
0,a/abbey/sun_aakbdcgfpksytcwj.jpg,a,abbey,abbey,sun_aakbdcgfpksytcwj.jpg,0,abbey,test_seen_loc,0,True,102
1,a/abbey/sun_aaoktempcmudsvna.jpg,a,abbey,abbey,sun_aaoktempcmudsvna.jpg,0,abbey,train_loc;trainval_loc,1,True,102
2,a/abbey/sun_abegcweqnetpdlrh.jpg,a,abbey,abbey,sun_abegcweqnetpdlrh.jpg,0,abbey,train_loc;trainval_loc,2,True,102
3,a/abbey/sun_acguwqihawgzdnju.jpg,a,abbey,abbey,sun_acguwqihawgzdnju.jpg,0,abbey,test_seen_loc,3,True,102
4,a/abbey/sun_acmeiclstytiwnge.jpg,a,abbey,abbey,sun_acmeiclstytiwnge.jpg,0,abbey,train_loc;trainval_loc,4,True,102
5,a/abbey/sun_adkmtwzsqvjxuxkb.jpg,a,abbey,abbey,sun_adkmtwzsqvjxuxkb.jpg,0,abbey,train_loc;trainval_loc,5,True,102
6,a/abbey/sun_adwaigzwuxuvitrh.jpg,a,abbey,abbey,sun_adwaigzwuxuvitrh.jpg,0,abbey,train_loc;trainval_loc,6,True,102
7,a/abbey/sun_adyaeibdsmigleig.jpg,a,abbey,abbey,sun_adyaeibdsmigleig.jpg,0,abbey,train_loc;trainval_loc,7,True,102
8,a/abbey/sun_aecpkgfewqqreqwe.jpg,a,abbey,abbey,sun_aecpkgfewqqreqwe.jpg,0,abbey,train_loc;trainval_loc,8,True,102
9,a/abbey/sun_aezyeylfdgocpali.jpg,a,abbey,abbey,sun_aezyeylfdgocpali.jpg,0,abbey,train_loc;trainval_loc,9,True,102
10,a/abbey/sun_afkhvtwktbyrgtmw.jpg,a,abbey,abbey,sun_afkhvtwktbyrgtmw.jpg,0,abbey,train_loc;trainval_loc,10,True,102
11,a/abbey/sun_aflxihjmvgahhvdv.jpg,a,abbey,abbey,sun_aflxihjmvgahhvdv.jpg,0,abbey,train_loc;trainval_loc,11,True,102
12,a/abbey/sun_agmujncxfjrtenzs.jpg,a,abbey,abbey,sun_agmujncxfjrtenzs.jpg,0,abbey,train_loc;trainval_loc,12,True,102
13,a/abbey/sun_aguqrsydpmnftgfw.jpg,a,abbey,abbey,sun_aguqrsydpmnftgfw.jpg,0,abbey,train_loc;trainval_loc,13,True,102
14,a/abbey/sun_ahiooqpekjcgzxud.jpg,a,abbey,abbey,sun_ahiooqpekjcgzxud.jpg,0,abbey,test_seen_loc,14,True,102
15,a/abbey/sun_aiogdgjrbrgwoldg.jpg,a,abbey,abbey,sun_aiogdgjrbrgwoldg.jpg,0,abbey,train_loc;trainval_loc,15,True,102
16,a/abbey/sun_aiwwobnvofibjggm.jpg,a,abbey,abbey,sun_aiwwobnvofibjggm.jpg,0,abbey,train_loc;trainval_loc,16,True,102
17,a/abbey/sun_ajblooupyqwdvzgx.jpg,a,abbey,abbey,sun_ajblooupyqwdvzgx.jpg,0,abbey,train_loc;trainval_loc,17,True,102
18,a/abbey/sun_akeacyqqafcecdbg.jpg,a,abbey,abbey,sun_akeacyqqafcecdbg.jpg,0,abbey,test_seen_loc,18,True,102
19,a/abbey/sun_akhbfkhsgyheoulz.jpg,a,abbey,abbey,sun_akhbfkhsgyheoulz.jpg,0,abbey,train_loc;trainval_loc,19,True,102
20,a/access_road/sun_aafdhgtqzikmxoll.jpg,a,access_road,access_road,sun_aafdhgtqzikmxoll.jpg,1,access road,train_loc;trainval_loc,20,True,102
21,a/access_road/sun_aajbhfsssjojylcw.jpg,a,access_road,access_road,sun_aajbhfsssjojylcw.jpg,1,access road,train_loc;trainval_loc,21,True,102
22,a/access_road/sun_abcgdjrcxmncdaht.jpg,a,access_road,access_road,sun_abcgdjrcxmncdaht.jpg,1,access road,test_seen_loc,22,True,102
23,a/access_road/sun_acyiwhsbcwlotybd.jpg,a,access_road,access_road,sun_acyiwhsbcwlotybd.jpg,1,access road,train_loc;trainval_loc,23,True,102
24,a/access_road/sun_adcnesbewvfmnfxh.jpg,a,access_road,access_road,sun_adcnesbewvfmnfxh.jpg,1,access road,train_loc;trainval_loc,24,True,102
25,a/access_road/sun_ahsirvbzddqizrxd.jpg,a,access_road,access_road,sun_ahsirvbzddqizrxd.jpg,1,access road,train_loc;trainval_loc,25,True,102
26,a/access_road/sun_ahwugxdwvldcesmn.jpg,a,access_road,access_road,sun_ahwugxdwvldcesmn.jpg,1,access road,train_loc;trainval_loc,26,True,102
27,a/access_road/sun_ajcssctcxxowdfbs.jpg,a,access_road,access_road,sun_ajcssctcxxowdfbs.jpg,1,access road,train_loc;trainval_loc,27,True,102
28,a/access_road/sun_ajottjxfxgkaoiqy.jpg,a,access_road,access_road,sun_ajottjxfxgkaoiqy.jpg,1,access road,train_loc;trainval_loc,28,True,102
29,a/access_road/sun_akxkraecdemenrwt.jpg,a,access_road,access_road,sun_akxkraecdemenrwt.jpg,1,access road,train_loc;trainval_loc,29,True,102
30,a/access_road/sun_akxpqygihxvzeujo.jpg,a,access_road,access_road,sun_akxpqygihxvzeujo.jpg,1,access road,test_seen_loc,30,True,102
31,a/access_road/sun_anorofjqndvviewi.jpg,a,access_road,access_road,sun_anorofjqndvviewi.jpg,1,access road,train_loc;trainval_loc,31,True,102
32,a/access_road/sun_aofqbslnxtztllng.jpg,a,access_road,access_road,sun_aofqbslnxtztllng.jpg,1,access road,train_loc;trainval_loc,32,True,102
33,a/access_road/sun_apenmwoedrfltrhu.jpg,a,access_road,access_road,sun_apenmwoedrfltrhu.jpg,1,access road,train_loc;trainval_loc,33,True,102
34,a/access_road/sun_apgxafscsgkhdiqa.jpg,a,access_road,access_road,sun_apgxafscsgkhdiqa.jpg,1,access road,train_loc;trainval_loc,34,True,102
35,a/access_road/sun_aqfkmufjxdbrhzeo.jpg,a,access_road,access_road,sun_aqfkmufjxdbrhzeo.jpg,1,access road,train_loc;trainval_loc,35,True,102
36,a/access_road/sun_arbboqgqnnsjphcr.jpg,a,access_road,access_road,sun_arbboqgqnnsjphcr.jpg,1,access road,train_loc;trainval_loc,36,True,102
37,a/access_road/sun_ardkooutxmkycoiy.jpg,a,access_road,access_road,sun_ardkooutxmkycoiy.jpg,1,access road,test_seen_loc,37,True,102
38,a/access_road/sun_armdubdwrnqvanjb.jpg,a,access_road,access_road,sun_armdubdwrnqvanjb.jpg,1,access road,train_loc;trainval_loc,38,True,102
39,a/access_road/sun_arzpyyzgycwcxqpm.jpg,a,access_road,access_road,sun_arzpyyzgycwcxqpm.jpg,1,access road,test_seen_loc,39,True,102
40,a/airfield/sun_adslcmvnrafueyju.jpg,a,airfield,airfield,sun_adslcmvnrafueyju.jpg,2,airfield,train_loc;trainval_loc,40,True,102
41,a/airfield/sun_aepivtatepzallbm.jpg,a,airfield,airfield,sun_aepivtatepzallbm.jpg,2,airfield,train_loc;trainval_loc,41,True,102
42,a/airfield/sun_afrlkwnfslkydaly.jpg,a,airfield,airfield,sun_afrlkwnfslkydaly.jpg,2,airfield,test_seen_loc,42,True,102
43,a/airfield/sun_afxhnznofjnlysre.jpg,a,airfield,airfield,sun_afxhnznofjnlysre.jpg,2,airfield,train_loc;trainval_loc,43,True,102
44,a/airfield/sun_agvltooxfpftsrmg.jpg,a,airfield,airfield,sun_agvltooxfpftsrmg.jpg,2,airfield,train_loc;trainval_loc,44,True,102
45,a/airfield/sun_ahisixpfyodijosl.jpg,a,airfield,airfield,sun_ahisixpfyodijosl.jpg,2,airfield,train_loc;trainval_loc,45,True,102
46,a/airfield/sun_ahnovyexdxeuvghs.jpg,a,airfield,airfield,sun_ahnovyexdxeuvghs.jpg,2,airfield,train_loc;trainval_loc,46,True,102
47,a/airfield/sun_akvynierzftfepky.jpg,a,airfield,airfield,sun_akvynierzftfepky.jpg,2,airfield,train_loc;trainval_loc,47,True,102
48,a/airfield/sun_amitrosygehdeufb.jpg,a,airfield,airfield,sun_amitrosygehdeufb.jpg,2,airfield,test_seen_loc,48,True,102
49,a/airfield/sun_andmnmhominoumgz.jpg,a,airfield,airfield,sun_andmnmhominoumgz.jpg,2,airfield,train_loc;trainval_loc,49,True,102
50,a/airfield/sun_anzktdullwvmicja.jpg,a,airfield,airfield,sun_anzktdullwvmicja.jpg,2,airfield,train_loc;trainval_loc,50,True,102
51,a/airfield/sun_apvqcklwdesmuagn.jpg,a,airfield,airfield,sun_apvqcklwdesmuagn.jpg,2,airfield,train_loc;trainval_loc,51,True,102
52,a/airfield/sun_apzyotxyhtkuacgh.jpg,a,airfield,airfield,sun_apzyotxyhtkuacgh.jpg,2,airfield,train_loc;trainval_loc,52,True,102
53,a/airfield/sun_asquniztxuiwualu.jpg,a,airfield,airfield,sun_asquniztxuiwualu.jpg,2,airfield,train_loc;trainval_loc,53,True,102
54,a/airfield/sun_bdmwwhfoqkfyccde.jpg,a,airfield,airfield,sun_bdmwwhfoqkfyccde.jpg,2,airfield,train_loc;trainval_loc,54,True,102
55,a/airfield/sun_bdpfkpghqgvzsipc.jpg,a,airfield,airfield,sun_bdpfkpghqgvzsipc.jpg,2,airfield,test_seen_loc,55,True,102
56,a/airfield/sun_bhlazecjfmiyxbtg.jpg,a,airfield,airfield,sun_bhlazecjfmiyxbtg.jpg,2,airfield,train_loc;trainval_loc,56,True,102
57,a/airfield/sun_bjdpgbtglrjtkrsl.jpg,a,airfield,airfield,sun_bjdpgbtglrjtkrsl.jpg,2,airfield,test_seen_loc,57,True,102
58,a/airfield/sun_bkoykzhsrosredze.jpg,a,airfield,airfield,sun_bkoykzhsrosredze.jpg,2,airfield,train_loc;trainval_loc,58,True,102
59,a/airfield/sun_boqosnzfccbkljtq.jpg,a,airfield,airfield,sun_boqosnzfccbkljtq.jpg,2,airfield,train_loc;trainval_loc,59,True,102
60,a/airlock/sun_aalgvlxcyjeajlla.jpg,a,airlock,airlock,sun_aalgvlxcyjeajlla.jpg,3,airlock,test_unseen_loc,60,True,102
61,a/airlock/sun_acwyzvggchetltzv.jpg,a,airlock,airlock,sun_acwyzvggchetltzv.jpg,3,airlock,test_unseen_loc,61,True,102
62,a/airlock/sun_aenfetxfeupuohpe.jpg,a,airlock,airlock,sun_aenfetxfeupuohpe.jpg,3,airlock,test_unseen_loc,62,True,102
63,a/airlock/sun_ahjqjmtgrbluoptr.jpg,a,airlock,airlock,sun_ahjqjmtgrbluoptr.jpg,3,airlock,test_unseen_loc,63,True,102
64,a/airlock/sun_ahkhojddsgvergqi.jpg,a,airlock,airlock,sun_ahkhojddsgvergqi.jpg,3,airlock,test_unseen_loc,64,True,102
65,a/airlock/sun_aipxxhgriqocjobm.jpg,a,airlock,airlock,sun_aipxxhgriqocjobm.jpg,3,airlock,test_unseen_loc,65,True,102
66,a/airlock/sun_aipyedlzueushdzu.jpg,a,airlock,airlock,sun_aipyedlzueushdzu.jpg,3,airlock,test_unseen_loc,66,True,102
67,a/airlock/sun_ajeqowkbzbdlukti.jpg,a,airlock,airlock,sun_ajeqowkbzbdlukti.jpg,3,airlock,test_unseen_loc,67,True,102
